months,p_to_bc,impact_cum_end,BC_end,FS_end,employees_end,hires_total,A_end,m_end,avg_U,pct_months_U_pos,first_impact_month,fs_ratio_final,fs_target_final,fs_coverage_months_final
6,0.1,1157.060343807653,306.10062005493467,826.4716741483235,2,0,100.11564821027562,25.179791097422644,510.1677000915577,1.0,1.0,3.0,6000.0,0.4132358370741617
6,0.2,1027.1471164704178,611.3970931371534,733.6765117645841,2,0,100.10266337995708,25.15955085239706,509.4975776142946,1.0,1.0,3.0,6000.0,0.3668382558822921
6,0.3,897.5740299936482,915.8918673404575,641.1243071383203,2,0,100.089712546726,25.139377105844595,508.8288151891431,1.0,1.0,3.0,6000.0,0.3205621535691602
6,0.4,768.3400502385007,1219.5873813309536,548.8143215989292,2,0,100.07679560722023,25.119269583788125,508.1614088878973,1.0,1.0,3.0,6000.0,0.2744071607994646
6,0.5,639.4441470442513,1522.4860643910745,456.74581931732234,2,0,100.06391245847517,25.099228013662763,507.49535479702485,1.0,1.0,3.0,6000.0,0.22837290965866117
6,0.6,510.88529420973776,1824.590336463349,364.91806729266983,2,0,100.05106299792202,25.079252124307132,506.83064901759695,1.0,1.0,3.0,6000.0,0.18245903364633492
6,0.7,382.66246947490913,2125.902608193939,273.3303353392208,2,0,100.0382471233858,25.059341645954866,506.1672876652237,1.0,1.0,3.0,6000.0,0.1366651676696104
6,0.8,254.77465450247482,2426.425280975952,181.98189607319634,2,0,100.02546473308372,25.039496310225992,505.50526686998995,1.0,1.0,3.0,6000.0,0.09099094803659817
6,0.9,127.22083485964876,2726.1607469924747,90.87202489974912,2,0,100.01271572562314,25.0197158501185,504.8445827763842,1.0,1.0,3.0,6000.0,0.04543601244987456
12,0.1,2371.3733321241966,627.3474423608988,1693.8380943744264,2,0,100.23701882380054,25.369863532887674,522.7895353007488,1.0,1.0,3.0,6000.0,0.8469190471872132
12,0.2,2101.7071753465916,1251.0161758015424,1501.219410961851,2,0,100.21006568469231,25.327552376320163,521.2567399173095,1.0,1.0,3.0,6000.0,0.7506097054809255
12,0.3,1833.6134976312385,1871.0341812563659,1309.723926879456,2,0,100.18326971490569,25.285552060521702,519.7317170156572,1.0,1.0,3.0,6000.0,0.654861963439728
12,0.4,1567.0803678602153,2487.4291553336757,1119.3431199001539,2,0,100.15662972192504,25.243859510488498,518.2144073611822,1.0,1.0,3.0,6000.0,0.5596715599500769
12,0.5,1302.09597587256,3100.2285139822857,930.0685541946856,2,0,100.13014452532458,25.202471690793917,516.704752330381,1.0,1.0,3.0,6000.0,0.4650342770973428
12,0.6,1038.6486309082927,3709.4593961010446,741.891879220209,2,0,100.10381295661251,25.161385604962767,515.2026939029229,1.0,1.0,3.0,6000.0,0.3709459396101045
12,0.7,776.7267600766199,4315.148667092332,554.8048286261571,2,0,100.07763385907815,25.120598294857256,513.7081746538491,1.0,1.0,3.0,6000.0,0.27740241431307855
12,0.8,516.3189068478545,4917.32292236052,368.79921917703894,2,0,100.05160608764096,25.080106840074336,512.2211377458874,1.0,1.0,3.0,6000.0,0.18439960958851948
12,0.9,257.4137295686301,5516.008490756361,183.8669496918787,2,0,100.0257285087025,25.039908357354232,510.7415269218853,1.0,1.0,3.0,6000.0,0.09193347484593935
18,0.1,3646.2157791198833,964.6073489735141,2604.4398422284885,2,0,100.36443935823289,25.570948178331268,535.8929716519522,1.0,1.0,3.0,6000.0,1.3022199211142442
18,0.2,3226.17665378845,1920.3432463026486,2304.4118955631784,2,0,100.32245643716026,25.50455369924148,533.4286795285136,1.0,1.0,3.0,6000.0,1.1522059477815891
18,0.3,2809.9705630038666,2867.3169010243546,2007.121830717048,2,0,100.28085662798641,25.438925665018473,530.9846113008065,1.0,1.0,3.0,6000.0,1.0035609153585239
18,0.4,2397.550492079789,3805.6357017139517,1712.536065771278,2,0,100.23963523159216,25.37405192144581,528.5605141269376,1.0,1.0,3.0,6000.0,0.8562680328856389
18,0.5,1988.8702072361446,4735.405255324154,1420.6215765972456,2,0,100.19878762691013,25.309920567293208,526.1561394804615,1.0,1.0,3.0,6000.0,0.7103107882986228
18,0.6,1583.8842390046475,5656.729425016598,1131.3458850033194,2,0,100.15830926926581,25.246519947806735,523.7712430570924,1.0,1.0,3.0,6000.0,0.5656729425016597
18,0.7,1182.5478660629985,6569.710367016658,844.677047187856,2,0,100.11819568876194,25.183838648397604,521.4055846838618,1.0,1.0,3.0,6000.0,0.42233852359392804
18,0.8,784.8170994847133,7474.4485665210805,560.5836424890808,2,0,100.07844248870411,25.121865488522552,519.0589282306305,1.0,1.0,3.0,6000.0,0.28029182124454044
18,0.9,390.64866739206326,8371.042872687072,279.03476242290236,2,0,100.03904534406716,25.06058951574921,516.7310415238934,1.0,1.0,3.0,6000.0,0.13951738121145119
24,0.1,4985.098455717368,1318.8091152691447,3560.784611226692,2,0,100.49826071521412,25.783843168992554,549.5037980288104,1.0,1.0,3.0,6000.0,1.780392305613346
24,0.2,4403.213463562676,2620.960394977783,3145.1524739733395,2,0,100.4401012957084,25.691149707021115,546.0334156203716,1.0,1.0,3.0,6000.0,1.5725762369866698
24,0.3,3828.6049625973415,3906.7397577523907,2734.717830426672,2,0,100.38266916167893,25.599928687930717,542.6027441322765,1.0,1.0,3.0,6000.0,1.367358915213336
24,0.4,3261.1486550816667,5176.426436637567,2329.391896486905,2,0,100.32595188956336,25.51014767934822,539.2110871497466,1.0,1.0,3.0,6000.0,1.1646959482434525
