horizon_months,best_p_override,impact_cum_end,FS_end,BC_end,fs_coverage_months_final,employees_end,hires_total,A_end,m_end,avg_U,pct_months_U_pos
6,0.1,1157.060343807653,826.4716741483235,306.10062005493467,0.4132358370741617,2,0,100.11564821027562,25.179791097422644,510.1677000915577,1.0
12,0.1,2371.3733321241966,1693.8380943744264,627.3474423608988,0.8469190471872132,2,0,100.23701882380054,25.369863532887674,522.7895353007488,1.0
18,0.1,3646.2157791198833,2604.4398422284885,964.6073489735141,1.3022199211142442,2,0,100.36443935823289,25.570948178331268,535.8929716519522,1.0
24,0.1,4985.098455717368,3560.784611226692,1318.8091152691447,1.780392305613346,2,0,100.49826071521412,25.783843168992554,549.5037980288104,1.0
60,0.3,10286.1361074433,7347.240076745217,10496.057252493167,2.449080025581739,3,1,101.02809956096388,26.64447716100898,570.6802192619946,0.95
120,0.3,10286.1361074433,7347.240076745217,10496.057252493167,2.449080025581739,3,1,101.02809956096388,26.64447716100898,160.99938419918192,0.475
