policy,months,p_to_bc_input,p_eff_last,phase_last,impact_cum_end,BC_end,FS_end,employees_end,hires_total,A_end,m_end,avg_U,pct_months_U_pos,first_impact_month,fs_ratio_final,fs_target_final,fs_coverage_months_final,p_range_min_final,p_range_max_final,p_dyn_final,phase_final,lambda_in_phase_final,p_override_used
OVERRIDE_fixed_p,6,0.1,0.1,1.0,1157.060343807653,306.10062005493467,826.4716741483235,2,0,100.11564821027562,25.179791097422644,510.1677000915577,1.0,1.0,3.0,6000.0,0.4132358370741617,0.05,0.15,0.06377452790247207,1.0,0.13774527902472058,0.1
OVERRIDE_fixed_p,6,0.2,0.2,1.0,1027.1471164704178,611.3970931371534,733.6765117645841,2,0,100.10266337995708,25.15955085239706,509.4975776142946,1.0,1.0,3.0,6000.0,0.3668382558822921,0.05,0.15,0.06222794186274307,1.0,0.12227941862743069,0.2
OVERRIDE_fixed_p,6,0.3,0.3,1.0,897.5740299936482,915.8918673404575,641.1243071383203,2,0,100.089712546726,25.139377105844595,508.8288151891431,1.0,1.0,3.0,6000.0,0.3205621535691602,0.05,0.15,0.06068540511897201,1.0,0.10685405118972006,0.3
OVERRIDE_fixed_p,6,0.4,0.4,1.0,768.3400502385007,1219.5873813309536,548.8143215989292,2,0,100.07679560722023,25.119269583788125,508.1614088878973,1.0,1.0,3.0,6000.0,0.2744071607994646,0.05,0.15,0.059146905359982155,1.0,0.09146905359982153,0.4
OVERRIDE_fixed_p,6,0.5,0.5,1.0,639.4441470442513,1522.4860643910745,456.74581931732234,2,0,100.06391245847517,25.099228013662763,507.49535479702485,1.0,1.0,3.0,6000.0,0.22837290965866117,0.05,0.15,0.05761243032195537,1.0,0.07612430321955373,0.5
OVERRIDE_fixed_p,6,0.6,0.6,1.0,510.88529420973776,1824.590336463349,364.91806729266983,2,0,100.05106299792202,25.079252124307132,506.83064901759695,1.0,1.0,3.0,6000.0,0.18245903364633492,0.05,0.15,0.056081967788211166,1.0,0.06081967788211164,0.6
OVERRIDE_fixed_p,6,0.7,0.7,1.0,382.66246947490913,2125.902608193939,273.3303353392208,2,0,100.0382471233858,25.059341645954866,506.1672876652237,1.0,1.0,3.0,6000.0,0.1366651676696104,0.05,0.15,0.054555505588987016,1.0,0.04555505588987013,0.7
OVERRIDE_fixed_p,6,0.8,0.8,1.0,254.77465450247482,2426.425280975952,181.98189607319634,2,0,100.02546473308372,25.039496310225992,505.50526686998995,1.0,1.0,3.0,6000.0,0.09099094803659817,0.05,0.15,0.05303303160121994,1.0,0.03033031601219939,0.8
OVERRIDE_fixed_p,6,0.9,0.9,1.0,127.22083485964876,2726.1607469924747,90.87202489974912,2,0,100.01271572562314,25.0197158501185,504.8445827763842,1.0,1.0,3.0,6000.0,0.04543601244987456,0.05,0.15,0.05151453374832916,1.0,0.01514533748329152,0.9
OVERRIDE_fixed_p,12,0.1,0.1,1.0,2371.3733321241966,627.3474423608988,1693.8380943744264,2,0,100.23701882380054,25.369863532887674,522.7895353007488,1.0,1.0,3.0,6000.0,0.8469190471872132,0.05,0.15,0.07823063490624044,1.0,0.2823063490624044,0.1
OVERRIDE_fixed_p,12,0.2,0.2,1.0,2101.7071753465916,1251.0161758015424,1501.219410961851,2,0,100.21006568469231,25.327552376320163,521.2567399173095,1.0,1.0,3.0,6000.0,0.7506097054809255,0.05,0.15,0.07502032351603086,1.0,0.2502032351603085,0.2
OVERRIDE_fixed_p,12,0.3,0.3,1.0,1833.6134976312385,1871.0341812563659,1309.723926879456,2,0,100.18326971490569,25.285552060521702,519.7317170156572,1.0,1.0,3.0,6000.0,0.654861963439728,0.05,0.15,0.0718287321146576,1.0,0.218287321146576,0.3
OVERRIDE_fixed_p,12,0.4,0.4,1.0,1567.0803678602153,2487.4291553336757,1119.3431199001539,2,0,100.15662972192504,25.243859510488498,518.2144073611822,1.0,1.0,3.0,6000.0,0.5596715599500769,0.05,0.15,0.06865571866500256,1.0,0.18655718665002563,0.4
OVERRIDE_fixed_p,12,0.5,0.5,1.0,1302.09597587256,3100.2285139822857,930.0685541946856,2,0,100.13014452532458,25.202471690793917,516.704752330381,1.0,1.0,3.0,6000.0,0.4650342770973428,0.05,0.15,0.06550114256991144,1.0,0.15501142569911427,0.5
OVERRIDE_fixed_p,12,0.6,0.6,1.0,1038.6486309082927,3709.4593961010446,741.891879220209,2,0,100.10381295661251,25.161385604962767,515.2026939029229,1.0,1.0,3.0,6000.0,0.3709459396101045,0.05,0.15,0.06236486465367015,1.0,0.1236486465367015,0.6
OVERRIDE_fixed_p,12,0.7,0.7,1.0,776.7267600766199,4315.148667092332,554.8048286261571,2,0,100.07763385907815,25.120598294857256,513.7081746538491,1.0,1.0,3.0,6000.0,0.27740241431307855,0.05,0.15,0.05924674714376929,1.0,0.09246747143769285,0.7
OVERRIDE_fixed_p,12,0.8,0.8,1.0,516.3189068478545,4917.32292236052,368.79921917703894,2,0,100.05160608764096,25.080106840074336,512.2211377458874,1.0,1.0,3.0,6000.0,0.18439960958851948,0.05,0.15,0.05614665365295065,1.0,0.06146653652950649,0.8
OVERRIDE_fixed_p,12,0.9,0.9,1.0,257.4137295686301,5516.008490756361,183.8669496918787,2,0,100.0257285087025,25.039908357354232,510.7415269218853,1.0,1.0,3.0,6000.0,0.09193347484593935,0.05,0.15,0.053064449161531316,1.0,0.030644491615313116,0.9
OVERRIDE_fixed_p,18,0.1,0.1,1.0,3646.2157791198833,964.6073489735141,2604.4398422284885,2,0,100.36443935823289,25.570948178331268,535.8929716519522,1.0,1.0,3.0,6000.0,1.3022199211142442,0.05,0.15,0.09340733070380813,1.0,0.4340733070380814,0.1
OVERRIDE_fixed_p,18,0.2,0.2,1.0,3226.17665378845,1920.3432463026486,2304.4118955631784,2,0,100.32245643716026,25.50455369924148,533.4286795285136,1.0,1.0,3.0,6000.0,1.1522059477815891,0.05,0.15,0.08840686492605297,1.0,0.3840686492605297,0.2
OVERRIDE_fixed_p,18,0.3,0.3,1.0,2809.9705630038666,2867.3169010243546,2007.121830717048,2,0,100.28085662798641,25.438925665018473,530.9846113008065,1.0,1.0,3.0,6000.0,1.0035609153585239,0.05,0.15,0.0834520305119508,1.0,0.334520305119508,0.3
OVERRIDE_fixed_p,18,0.4,0.4,1.0,2397.550492079789,3805.6357017139517,1712.536065771278,2,0,100.23963523159216,25.37405192144581,528.5605141269376,1.0,1.0,3.0,6000.0,0.8562680328856389,0.05,0.15,0.07854226776285463,1.0,0.2854226776285463,0.4
OVERRIDE_fixed_p,18,0.5,0.5,1.0,1988.8702072361446,4735.405255324154,1420.6215765972456,2,0,100.19878762691013,25.309920567293208,526.1561394804615,1.0,1.0,3.0,6000.0,0.7103107882986228,0.05,0.15,0.07367702627662076,1.0,0.2367702627662076,0.5
OVERRIDE_fixed_p,18,0.6,0.6,1.0,1583.8842390046475,5656.729425016598,1131.3458850033194,2,0,100.15830926926581,25.246519947806735,523.7712430570924,1.0,1.0,3.0,6000.0,0.5656729425016597,0.05,0.15,0.06885576475005532,1.0,0.18855764750055323,0.6
