months,A0,C_base,r_annual,alpha,margin_per_person,bond_capital_end,impact_cum,months_positive_u,pct_months_positive_u,first_impact_month,avg_u,avg_u_positive
12,100,2000.0,0.04,0.8,25.0,4871.029548514309,1217.7573871285767,12,1.0,1.0,507.3989113035738,507.3989113035738
12,100,2000.0,0.04,0.7,25.0,4254.321431378056,1823.2806134477391,12,1.0,1.0,506.46683706881635,506.46683706881635
12,100,2000.0,0.04,0.6,25.0,3639.8651918104856,2426.5767945403236,12,1.0,1.0,505.5368321959007,505.5368321959007
12,100,2000.0,0.04,0.5,25.0,3027.6533522251966,3027.6533522251966,12,1.0,1.0,504.60889203753277,504.60889203753277
12,100,2000.0,0.04,0.9,30.0,10979.994086439401,1219.999342937711,12,1.0,1.0,1016.6661191147592,1016.6661191147592
12,100,2000.0,0.04,0.8,30.0,9742.05909702862,2435.514774257154,12,1.0,1.0,1014.7978226071477,1014.7978226071477
12,100,2000.0,0.04,0.7,30.0,8508.642862756116,3646.5612268954774,12,1.0,1.0,1012.9336741376328,1012.9336741376328
12,100,2000.0,0.04,0.6,30.0,7279.73038362097,4853.153589080648,12,1.0,1.0,1011.0736643918016,1011.0736643918016
12,100,2000.0,0.04,0.5,30.0,6055.306704450394,6055.306704450394,12,1.0,1.0,1009.2177840750657,1009.2177840750657
12,100,2000.0,0.04,0.9,40.0,21959.988172878802,2439.9986858754214,12,1.0,1.0,2033.3322382295185,2033.3322382295185
12,100,2000.0,0.04,0.8,40.0,19484.11819405724,4871.029548514309,12,1.0,1.0,2029.5956452142957,2029.5956452142957
12,100,2000.0,0.04,0.7,40.0,17017.28572551223,7293.122453790957,12,1.0,1.0,2025.867348275265,2025.867348275265
12,100,2000.0,0.04,0.6,40.0,14559.460767241942,9706.307178161296,12,1.0,1.0,2022.1473287836031,2022.1473287836031
12,100,2000.0,0.04,0.5,40.0,12110.613408900788,12110.613408900788,12,1.0,1.0,2018.4355681501313,2018.4355681501313
12,100,2000.0,0.04,0.9,50.0,32939.9822593182,3659.998028813132,12,1.0,1.0,3049.9983573442773,3049.9983573442773
12,100,2000.0,0.04,0.8,50.0,29226.17729108586,7306.544322771462,12,1.0,1.0,3044.393467821444,3044.393467821444
12,100,2000.0,0.04,0.7,50.0,25525.92858826834,10939.683680686436,12,1.0,1.0,3038.801022412898,3038.801022412898
