horizon,A0,m0,time_to_fs3,time_to_fs6,time_to_fs12,viable_fs3,viable_fs6,viable_fs12,impact_cum_end,FS_end,BC_end,employees_end,pct_months_U_pos,avg_U,A_end,m_end,p_eff_last,phase_final,fs_cov_final
24,100.0,40.0,11.0,,,1,0,0,15689.812433815743,11207.008881296959,6143.285000398669,3,1.0,1812.4992196411893,101.39154886675769,43.59640972714843,0.2311482444493872,2.0,3.735669627098986
24,100.0,50.0,8.0,,,1,0,0,23184.61800084299,16560.441429173567,12767.440310584625,3,1.0,2832.0379892151323,101.90057585699864,56.2343498541305,0.31643325343895157,2.0,5.520147143057856
24,100.0,75.0,4.0,14.0,,1,1,0,41532.96621002387,29666.40443573133,33276.922107854276,5,1.0,5506.872370567725,102.95107864765514,89.9854781406553,0.338262624759321,2.0,5.933280887146266
24,100.0,100.0,3.0,9.0,,1,1,0,59197.33556559083,42283.81111827917,52280.72541458878,6,1.0,8051.11510314664,103.65070904110489,125.2320986228325,0.32680947164692403,3.0,7.047301853046529
24,100.0,150.0,3.0,6.0,,1,1,0,96127.2351441785,68662.31081727037,102841.63788604473,7,1.0,13821.500303206083,104.74475024795966,200.1477253557711,0.4149637778683072,3.0,9.808901545324337
24,100.0,250.0,1.0,4.0,17.0,1,1,1,174944.2211846689,124960.15798904923,275143.0815755528,9,1.0,28819.872564127098,107.692503089824,382.57728715429073,0.431496582759317,4.0,13.884461998783248
24,250.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-750.0,250.0,5.0,,1.0,0.0
24,250.0,10.0,,,,0,0,0,5074.262130721391,3624.472950515279,1040.1892282345045,2,1.0,546.7402387480042,250.50717262675863,10.319230473239738,0.10774879100771051,1.0,1.8122364752576396
24,250.0,15.0,12.0,,,1,0,0,13892.228433776616,9923.02030984044,5047.769171529246,3,1.0,1588.5209807360018,251.27404690184792,16.230469643056587,0.21096554394564299,2.0,3.30767343661348
24,250.0,20.0,8.0,,,1,0,0,22914.14231094245,16367.244507816036,12477.023429962537,3,1.0,2793.1043801117776,251.8809597958067,22.46651800307698,0.31341281695987244,2.0,5.455748169272012
24,250.0,25.0,5.0,19.0,,1,1,0,32291.21198948722,23065.151421062303,23775.67881414868,4,1.0,4194.146536848181,252.51808800859095,29.20744338432028,0.32951058571685266,2.0,5.766287855265576
24,250.0,40.0,3.0,10.0,,1,1,0,58272.5686197684,41623.263299834594,52612.273814381195,6,1.0,7973.186867242911,253.6561870014461,50.109908076130054,0.32339444196012657,3.0,6.937210549972432
24,250.0,50.0,4.0,7.0,,1,1,0,76214.48164117166,54438.91545797976,71512.55163109706,7,1.0,10540.650131570676,254.1935265705865,64.72364036397869,0.35016104047267416,3.0,7.776987922568537
24,250.0,75.0,2.0,5.0,24.0,1,1,1,120668.46204464082,86191.7586033149,159301.7788193973,7,1.0,18608.65170126862,255.76210167105836,104.6946844148395,0.4957889644921859,4.0,12.313108371902128
24,250.0,100.0,1.0,4.0,17.0,1,1,1,169405.1595272571,121003.68537661221,263516.0437401944,9,1.0,27785.902569259804,257.55666467692987,151.86106987617862,0.46206417998292587,4.0,13.44485393073469
24,250.0,150.0,1.0,2.0,8.0,1,1,1,259089.38053560004,185063.8432397143,509797.3213300658,10,1.0,46944.86661649085,260.2589793170579,253.87016146933442,0.5430158770125625,4.0,18.50638432397143
24,250.0,250.0,1.0,2.0,3.0,1,1,1,355195.62376368867,253711.15983120614,1239730.7487382176,10,1.0,86893.10895175995,264.68387956756703,459.57040923244824,0.7,4.0,25.371115983120614
24,500.0,5.0,,,,0,0,0,5062.7274037115,3616.23385979393,1036.870163186676,2,1.0,545.4576262152685,500.50601973050584,5.159246934613627,0.10762317659090136,1.0,1.808116929896965
24,500.0,10.0,8.0,,,1,0,0,22824.60492180595,16303.289229861384,12381.803066362367,3,1.0,2780.2541874680687,501.87446421776997,11.228755397498645,0.31241283193383973,2.0,5.4344297432871285
24,500.0,15.0,4.0,14.0,,1,1,0,40629.67386514406,29021.19561796005,32300.66780756961,5,1.0,5376.582772254297,502.8970701237949,17.937315391430747,0.33321812384918614,2.0,5.804239123592009
24,500.0,20.0,3.0,10.0,,1,1,0,57911.38282938782,41365.273449562716,52033.98837807698,6,1.0,7913.259717081364,503.6383373495917,25.027465894179205,0.3220651826282221,3.0,6.894212241593786
24,500.0,25.0,4.0,7.0,,1,1,0,75459.93967448629,53899.95691034735,71012.57835534943,7,1.0,10444.962557910021,504.1625552272081,32.30028188278346,0.3477156264799811,3.0,7.699993844335335
24,500.0,40.0,2.0,4.0,22.0,1,1,1,129232.65633394526,92309.04023853235,169454.40606335134,7,1.0,19881.300285769135,505.9576241790595,56.19389080121154,0.4159178960072404,4.0,13.187005748361765
24,500.0,50.0,1.0,4.0,18.0,1,1,1,166691.5543364498,119065.39595460697,260779.48089031546,9,1.0,27402.672253014116,507.46957099031545,75.54266672106735,0.4562213650912668,4.0,13.229488439400773
24,500.0,75.0,1.0,2.0,8.0,1,1,1,256200.55792518804,183000.39851799147,497449.40909904614,10,1.0,46143.78072884796,510.17049028639514,126.34790192109857,0.5382016980230726,4.0,18.30003985179915
24,500.0,100.0,1.0,2.0,5.0,1,1,1,312589.6778974991,223278.34135535653,835392.4940880594,10,1.0,65818.901330802,512.6424346042813,178.66459493700228,0.6353779678604636,4.0,22.327834135535653
24,500.0,150.0,1.0,1.0,3.0,1,1,1,392739.1391380968,280527.95652721205,1572704.3289430963,10,1.0,104491.56322363067,516.327891284161,284.1429161351421,0.7,4.0,28.052795652721205
24,500.0,250.0,1.0,1.0,2.0,1,1,1,612138.0738746222,437241.4813390158,2947260.950296415,10,1.0,183530.52311499175,524.4975971945058,508.198526615101,0.7,4.0,43.72414813390158
60,10.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1950.0,10.0,5.0,,1.0,0.0
60,10.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1900.0,10.0,10.0,,1.0,0.0
60,10.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1850.0,10.0,15.0,,1.0,0.0
60,10.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1800.0,10.0,20.0,,1.0,0.0
60,10.0,25.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,10.0,25.0,,1.0,0.0
60,10.0,40.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1600.0,10.0,40.0,,1.0,0.0
60,10.0,50.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,10.0,50.0,,1.0,0.0
